uid,Age,Gender,Preferred Positions,Nationality,LivingIn,Experience,Languages Known,Skills,Created date,Last access
123295,27,Male,"Waiter /Waitress, Floor Supervisor, VIP Waiter/Waitress",Morocco,United Arab Emirates, 4 years,"Arabic, English, French","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",11/01/2018,06/22/2020
115061,27,Male,"Waiter /Waitress, Assistant Restaurant Manager, Floor Supervisor, Retail Sales Executive, VIP Waiter/Waitress",Kyrgyzstan,United Arab Emirates,5+ years,"English, Kyrgyz, Russian","Communication Skills, Computing Skills, Creativity, Decision Making, IT Skills, Language Skills, Leadership  Skills, Team Work Skills, Time Management",09/11/2018,06/22/2020
106353,33,Male,Floor Supervisor,Macedonia,United Arab Emirates,5+ years,English,"Communication Skills, Flexibility, Management Skills, Team Work Skills",07/24/2018,06/22/2020
192126,26,Male,Sales,Philippines,United Arab Emirates,5+ years,English,,11/17/2019,06/22/2020
242675,32,Female,"Personal Assistant, Reservations",Ukraine,Ukraine,5+ years,"English, Russian, Ukrainian",,06/10/2020,06/22/2020
67955,28,Male,"Waiter /Waitress, Floor Supervisor, VIP Waiter/Waitress",Ukraine,United Arab Emirates,10+ years,"English, Russian, Ukrainian","Leadership  Skills, Proactive, Team Work Skills, Work Under  Pressure",05/11/2017,06/22/2020
148419,24,Female,"Personal Assistant, Head Host/Hostess",Kyrgyzstan,United Arab Emirates,3 years,"English, Kyrgyz, Russian, Turkish","Adaptability, Communication Skills, Computing Skills, Confidence, Decision Making, Flexibility, Language Skills, Leadership  Skills, Proactive, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",04/20/2019,06/22/2020
137088,23,Female,"Host/Hostess, Personal Assistant, Customer Service",United Kingdom,United Kingdom,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",01/30/2019,06/22/2020
133195,25,Female,"Cabin Crew, Customer Service, Head Host/Hostess, Personal Assistant, Receptionist, Sales",Nigeria,United Arab Emirates,2 years,"English, Igbo, Yoruba","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Leadership  Skills, Perseverance, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",01/07/2019,06/22/2020
138283,28,Male,"Floor Manager, Floor Supervisor, Front Of The House Manager, VIP Waiter/Waitress, Waiter /Waitress",South Africa,United Arab Emirates, 4 years,"Afrikaans, English","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",02/08/2019,06/22/2020
247852,31,Female,"Personal Assistant, Administrations, Operations Manager, Retail Brand Manager, Retail Sales Manager, Retail Store Manager",Australia,United Arab Emirates,10+ years,English,,06/22/2020,06/22/2020
247858,27,Female,"Host/Hostess, Personal Assistant, Receptionist",United Kingdom,United Arab Emirates,,,,06/22/2020,06/22/2020
154648,33,Female,"Guest Relations Agent, Host/Hostess, Retail Sales Executive",Georgia,United Arab Emirates,5+ years,"English, Russian","Communication Skills, Flexibility, Self Motivated, Team Work Skills",06/08/2019,06/22/2020
244161,27,Male,"Bartender / Barmaid, Waiter /Waitress",Ukraine,United Arab Emirates, 4 years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Management Skills, Organisation Skills, Proactive, Team Work Skills, Work Under  Pressure",06/14/2020,06/22/2020
197476,27,Male,"Sales, Administrations, Customer Service, Events Coordinator, Guest Relations Agent, Marketing Executive",Lebanon,United Arab Emirates,3 years,"Arabic, English, French","Adaptability, Communication Skills, Confidence, Decision Making, Leadership  Skills, Numeracy Skills, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",12/17/2019,06/22/2020
198651,30,Male,Waiter /Waitress,India,United Arab Emirates,10+ years,"English, Hindi, Malayalam, Tamil",,12/27/2019,06/22/2020
140941,25,Female,"Host/Hostess, Personal Assistant, Receptionist, Events Coordinator, Head Host/Hostess",Russia,United Arab Emirates,5+ years,"English, Russian, Tatar, Turkish","Communication Skills, Creativity, Decision Making, Self Motivated, Team Work Skills, Work Under  Pressure",02/25/2019,06/22/2020
133543,34,Male,"Assistant Club Manager, Assistant Restaurant Manager, Floor Manager, Floor Supervisor",Lebanon,Lebanon,10+ years,"Arabic, Armenian, English, French",,01/08/2019,06/22/2020
207942,22,Female,"Host/Hostess, Bartender / Barmaid, Personal Assistant, Receptionist, Administrations, VIP Waiter/Waitress",United Kingdom,United Kingdom,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Management Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",03/07/2020,06/22/2020
62055,34,Male,"Bartender / Barmaid, Assistant Restaurant Manager, Bar Manager, Bar Supervisor, Brand ambassador, Floor Supervisor",Peru,United Arab Emirates,10+ years,"English, Portuguese, Brazil, Spanish","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Management Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",01/29/2017,06/22/2020
103154,29,Male,"Bartender / Barmaid, Assistant Club Manager, Assistant Restaurant Manager, Bar Manager, Bar Supervisor, Promoter",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Negotiation Skills, Organisation Skills, Problem Solving, Time Management",06/24/2018,06/22/2020
81583,26,Female,"Floor Supervisor, Head Host/Hostess, Operations Manager, Personal Assistant, Promoter",Serbia,United Arab Emirates,5+ years,"Bosnian, English, Macedonian, Serbian, Serbo-Croatian","Adaptability, Communication Skills, Confidence, Decision Making, IT Skills, Leadership  Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",11/07/2017,06/22/2020
93862,27,Female,"Host/Hostess, Waiter /Waitress, Personal Assistant, Receptionist, Administrations, Reservations",South Africa,United Arab Emirates,5+ years,"Afrikaans, Dutch, English","Adaptability, Communication Skills, Computing Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",02/21/2018,06/22/2020
101918,24,Female,"Floor Supervisor, Head Host/Hostess, Reservations Manager",Ukraine,United Arab Emirates, 4 years,"English, Polish, Russian, Ukrainian","Communication Skills, Computing Skills, Confidence, Leadership  Skills, Problem Solving, Team Work Skills",06/02/2018,06/22/2020
123818,32,Male,"Administrations, Assistant Restaurant Manager, Bar Supervisor, Floor Supervisor, Restaurant Manager",Zimbabwe,United Arab Emirates,5+ years,English,"Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Leadership  Skills, Management Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",11/05/2018,06/22/2020
247836,38,Male,Sales,Russia,Russia,,,,06/22/2020,06/22/2020
70205,25,Female,"Assistant Door Manager, Assistant Reservation Manager, Floor Supervisor, Guest Relations Manager, Head Host/Hostess, Receptionist",South Africa,United Arab Emirates,5+ years,"Afrikaans, English","Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/28/2017,06/22/2020
244444,29,Female,"Personal Assistant, Administrations, Assistant Reservation Manager, Customer Service, Door Manager, Events Coordinator",United Kingdom,United Arab Emirates,5+ years,English,"Adaptability, Communication Skills, Creativity, Decision Making, Negotiation Skills, Persuading, Self Motivated",06/14/2020,06/22/2020
79243,28,Male,"Barista, Bartender / Barmaid, Runner / Commis, Waiter /Waitress",Philippines,United Arab Emirates,5+ years,English,"Communication Skills, Creativity, Flexibility, Interpersonal Skills, Organisation Skills, Self Motivated, Team Work Skills",10/19/2017,06/22/2020
75367,26,Female,"Host/Hostess, Bartender / Barmaid, Waiter /Waitress, Floor Supervisor, Reservations",India,United Arab Emirates,5+ years,"English, Hindi","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Leadership  Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/07/2017,06/22/2020
247718,25,Female,"Personal Assistant, Sales, Events Coordinator, Head Host/Hostess, HR executive, Marketing Executive",South Africa,South Africa,3 years,"Afrikaans, English","Communication Skills, Confidence, Creativity, Language Skills, Leadership  Skills, Problem Solving, Team Work Skills, Time Management, Work Under  Pressure",06/22/2020,06/22/2020
99147,25,Female,"Personal Assistant, Sales, Assistant General Manager, Retail Sales Executive",Ukraine,United Arab Emirates,3 years,"English, Russian, Ukrainian","Communication Skills, Confidence, Creativity, Flexibility, Management Skills, Problem Solving, Team Work Skills, Time Management, Written Communication",04/24/2018,06/22/2020
97967,27,Male,"Bartender / Barmaid, Assistant Restaurant Manager, Bar Supervisor, Floor Manager, Floor Supervisor",India,Oman,5+ years,"English, Hindi","Adaptability, Communication Skills, Creativity, Decision Making, Flexibility, Management Skills, Marketing Skills, Organisation Skills, Self Motivated, Time Management, Work Under  Pressure",04/08/2018,06/22/2020
115876,28,Female,"Assistant Club Manager, Events Coordinator, Front Of The House Manager, Office Manager, Personal Assistant, Reservations Manager",Serbia,United Arab Emirates,5+ years,"English, Serbian, Spanish","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/12/2018,06/22/2020
223281,28,Male,"Assistant Door Manager, Cashier",India,United Arab Emirates,5+ years,"English, Hindi, Malayalam, Tamil","Computing Skills, Confidence, Flexibility, IT Skills, Self Motivated",04/22/2020,06/22/2020
245617,27,Female,"Personal Assistant, Administrations, HR coordinator, Marketing Coordinator, Sales Coordinator",United Kingdom,United Arab Emirates,5+ years,English,"Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Numeracy Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",06/17/2020,06/22/2020
115089,27,Female,"Cabin Crew, Events Coordinator, Guest Relations Manager, Head Host/Hostess, Personal Assistant, Real Estate Agent",Georgia,United Arab Emirates,5+ years,"Armenian, English, Georgian, Russian","Communication Skills, Confidence, Creativity, Language Skills, Leadership  Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management",09/11/2018,06/22/2020
104271,23,Female,"Personal Assistant, Sales, Administrations, Reservations Manager",Turkey,United Arab Emirates,3 years,"Azerbaijani, English, Turkish","Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Language Skills, Leadership  Skills, Management Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",07/09/2018,06/22/2020
153546,28,Female,"Administrations, Events Coordinator, Host/Hostess, Office Manager, Promoter, Receptionist",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Organisation Skills, Problem Solving, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",05/29/2019,06/22/2020
247833,41,Female,"Personal Assistant, Administrations",Georgia,United Arab Emirates,10+ years,"English, Georgian, Russian",,06/22/2020,06/22/2020
75552,25,Male,"Club Manager, Floor Supervisor, Head Host/Hostess, Sales, Sales Manager",United Kingdom,United Kingdom,5+ years,"Arabic, Dutch, English","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/09/2017,06/22/2020
242421,32,Male,"Bartender / Barmaid, Cocktail Waiter/Waitress, VIP Waiter/Waitress",Philippines,United Arab Emirates,5+ years,"English, Filipino, Spanish","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Negotiation Skills, Organisation Skills, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/10/2020,06/22/2020
140581,26,Female,"Cabin Crew, Host/Hostess, Receptionist",Serbia,United Arab Emirates,3 years,"English, French, Serbian","Adaptability, Computing Skills, Flexibility, Language Skills, Team Work Skills",02/22/2019,06/22/2020
245959,29,Female,"Host/Hostess, Personal Assistant, Receptionist, Sales, Administrations, Cashier",Spain,United Arab Emirates,5+ years,"English, Galician, Portuguese, Portugal, Spanish","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure, Written Communication",06/18/2020,06/22/2020
78358,25,Female,"Personal Assistant, Administrations",France,United Arab Emirates,3 years,"English, French, Spanish","Communication Skills, Creativity, Decision Making, Flexibility, Leadership  Skills, Perseverance",10/11/2017,06/22/2020
73128,27,Female,"Assistant Reservation Manager, Floor Supervisor, Front Of The House Manager, Guest Relations Manager, Personal Assistant, Reservations Manager",Russia,United Arab Emirates,5+ years,"English, Russian, Spanish","Commercial Awareness, Communication Skills, Confidence, Flexibility, Management Skills, Organisation Skills, Proactive, Self Motivated, Work Under  Pressure",08/07/2017,06/22/2020
75957,29,Female,"Waiter /Waitress, Floor Supervisor, VIP Waiter/Waitress",Kenya,Kenya,3 years,English,"Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/13/2017,06/22/2020
211532,24,Female,"Host/Hostess, Personal Assistant, Sales, Administrations, Customer Service, Marketing Executive",Germany,United Arab Emirates,5+ years,"English, German, Italian, Spanish","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",03/18/2020,06/22/2020
75320,25,Male,"Floor Supervisor, VIP Waiter/Waitress, Waiter /Waitress",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Language Skills, Leadership  Skills, Management Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",09/06/2017,06/22/2020
240412,28,Female,Floor Supervisor,Kenya,United Arab Emirates, 4 years,English,"Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills",06/05/2020,06/22/2020
89678,27,Female,"Assistant Club Manager, Events Coordinator, Host/Hostess, Intern, Marketing Executive, Personal Assistant",United States,United Arab Emirates,None,English,"Adaptability, Creativity, Flexibility, Organisation Skills, Proactive, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",01/20/2018,06/22/2020
96219,26,Female,"Bartender / Barmaid, Host/Hostess, Personal Assistant, Receptionist, Sales, VIP Waiter/Waitress",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Confidence, Flexibility, Language Skills, Leadership  Skills, Management Skills, Organisation Skills, Problem Solving, Team Work Skills, Work Under  Pressure",03/16/2018,06/22/2020
154227,30,Female,"Host/Hostess, Receptionist, Cabin Crew, Customer Service, Guest Relations Agent, Head Host/Hostess",South Africa,Qatar,5+ years,English,,06/05/2019,06/22/2020
95854,39,Female,"Host/Hostess, Personal Assistant, Assistant Restaurant Manager",Italy,Italy,5+ years,"English, Italian","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, Negotiation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure, Written Communication",03/13/2018,06/22/2020
101407,27,Female,"Personal Assistant, Events Manager, Floor Manager, Marketing Executive, Office Manager, Retail Store Manager",South Africa,United Arab Emirates,5+ years,"Afrikaans, English","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Leadership  Skills, Management Skills, Organisation Skills, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",05/26/2018,06/22/2020
88578,30,Female,"Administrations, Cabin Crew, Model, Office Manager, Personal Assistant, Receptionist",Ukraine,United Arab Emirates,5+ years,"English, Russian","Adaptability, Communication Skills, Flexibility, Management Skills, Self Motivated, Team Work Skills, Work Under  Pressure",01/10/2018,06/22/2020
194386,27,Male,"Host/Hostess, Receptionist, Barista, Customer Service, Reservations, Security",Greece,United Arab Emirates,5+ years,"English, Greek, Russian","Communication Skills, Computing Skills, Creativity, Team Work Skills",11/27/2019,06/22/2020
62770,25,Female,"Concierge, Events Manager, Guest Relations Manager, Marketing Coordinator, Operations Manager, Personal Assistant",United Kingdom,United Arab Emirates,5+ years,"Arabic, English","Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Management Skills, Proactive, Work Under  Pressure",02/06/2017,06/22/2020
178103,29,Female,"Events Manager, Operations Manager, Restaurant Manager, Retail Brand Manager, Retail Store Manager, VIP Waiter/Waitress",Croatia,United Arab Emirates,5+ years,"Bosnian, Croatian, English, Serbian, Serbo-Croatian","Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Management Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/24/2019,06/22/2020
82854,34,Male,"Assistant Restaurant Manager, Bar Manager, Bar Supervisor",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",11/18/2017,06/22/2020
55287,28,Male,"Barista, Cabin Crew, Cashier, Concierge, Customer Service, Floor Supervisor",Philippines,United Arab Emirates,5+ years,"English, Filipino, Japanese, Ukrainian","Adaptability, Commercial Awareness, Communication Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Marketing Skills, Organisation Skills, Perseverance, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",10/26/2016,06/22/2020
228335,29,Male,"Bartender / Barmaid, Assistant Club Manager, Assistant Door Manager, Assistant Restaurant Manager, Bar Supervisor, Barista",Ukraine,United Arab Emirates,10+ years,"English, Russian, Ukrainian","Adaptability, Leadership  Skills, Self Motivated, Team Work Skills, Technical Skills, Time Management",05/01/2020,06/22/2020
246107,42,Male,"Assistant Club Manager, Assistant General Manager, Floor Manager, Front Of The House Manager, Guest Relations Manager, Model",Lebanon,United Arab Emirates,20+ years,"Arabic, English",,06/18/2020,06/22/2020
87966,29,Female,"Personal Assistant, Administrations, Brand ambassador, Events Manager, Office Manager, Social Media Expert",United Kingdom,United Arab Emirates,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",01/04/2018,06/22/2020
212245,26,Male,"Waiter /Waitress, VIP Waiter/Waitress",Serbia,United Arab Emirates, 4 years,"English, German, Spanish","Adaptability, Flexibility, Proactive, Work Under  Pressure",03/20/2020,06/22/2020
247820,28,Female,"Host/Hostess, Waiter /Waitress, Receptionist, Administrations",Ukraine,Ukraine,,,,06/22/2020,06/22/2020
242592,26,Female,"Personal Assistant, Administrations, Assistant General Manager, General Manager, Model, Retail Store Manager",Italy,United Arab Emirates,5+ years,"Arabic, English, French, Italian, Spanish","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Management Skills, Organisation Skills, Proactive, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/10/2020,06/22/2020
29286,29,Male,"Assistant Restaurant Manager, General Manager, Guest Relations Manager, Marketing Executive, Marketing Manager, Restaurant Manager",Cameroon,United Arab Emirates,5+ years,"English, French","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, IT Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",05/17/2016,06/22/2020
246191,25,Female,"Waiter /Waitress, Reservations",Serbia,Serbia,5+ years,"English, Hungarian, Serbian","Communication Skills, Creativity, Flexibility, Organisation Skills, Problem Solving, Team Work Skills",06/18/2020,06/22/2020
238930,27,Male,"Bartender / Barmaid, Chef, Bar Back, Cocktail Waiter/Waitress, Mixologist",Mongolia,United Arab Emirates,5+ years,"Chinese, Simplified, English, Mongolian","Leadership  Skills, Management Skills",06/02/2020,06/22/2020
243074,36,Female,Personal Assistant,Belarus,United Arab Emirates,10+ years,"Belarusian, English, Russian",Communication Skills,06/11/2020,06/22/2020
156226,25,Male,"Assistant Club Manager, Assistant Restaurant Manager, Floor Manager",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian",,06/18/2019,06/22/2020
205350,34,Male,"Bartender / Barmaid, Bar Back, Bar Supervisor, Barista",Brazil,Brazil,5+ years,"English, Portuguese, Brazil, Spanish","Adaptability, Commercial Awareness, Communication Skills, Confidence, Creativity, Flexibility, Language Skills, Leadership  Skills, Management Skills, Negotiation Skills, Persuading, Proactive, Self Motivated, Time Management, Work Under  Pressure",02/11/2020,06/22/2020
72473,27,Female,"Host/Hostess, Personal Assistant, Receptionist, Cabin Crew, Head Host/Hostess, Social Media Expert",United Kingdom,United Arab Emirates,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",07/27/2017,06/22/2020
247814,36,Male,Operations Manager,Canada,United Arab Emirates,10+ years,"Arabic, English",,06/22/2020,06/22/2020
247397,46,Male,"Personal Assistant, Butler, Housekeeping, Operations Manager, VIP Waiter/Waitress",Sri Lanka,Sri Lanka,10+ years,"English, Sinhala",,06/21/2020,06/22/2020
193543,33,Female,"Personal Assistant, Receptionist, Cabin Crew, Customer Service, Real Estate Agent",Ireland,United Arab Emirates,5+ years,English,"Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Negotiation Skills, Organisation Skills, Proactive, Team Work Skills, Work Under  Pressure",11/23/2019,06/22/2020
241702,32,Male,Pastry Chef,Nepal,United Arab Emirates,10+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Self Motivated",06/08/2020,06/22/2020
247774,24,Female,VIP Waiter/Waitress,Philippines,Philippines,3 years,"English, Tagalog",,06/22/2020,06/22/2020
101324,29,Male,"Bartender / Barmaid, Waiter /Waitress",Bosnia and Herzegovina,Bosnia and Herzegovina,5+ years,"English, Serbian","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, IT Skills, Language Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Work Under  Pressure",05/25/2018,06/22/2020
247789,35,Female,"Personal Assistant, Receptionist, Administrations, Cashier, Customer Service, Sales Coordinator",Philippines,United Arab Emirates,5+ years,"English, Filipino","Adaptability, Communication Skills, Computing Skills, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Time Management, Work Under  Pressure, Written Communication",06/22/2020,06/22/2020
116473,28,Female,"Host/Hostess, Receptionist, Administrations, Cabin Crew, Customer Service, Retail Sales Executive",Kenya,United Arab Emirates,5+ years,"English, Spanish, Swahili","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/16/2018,06/22/2020
245329,28,Female,"Personal Assistant, Receptionist, Administrations, Assistant Club Manager, Assistant General Manager, Entertainment Director",Netherlands,United Arab Emirates,10+ years,"Dutch, English",,06/16/2020,06/22/2020
66501,29,Female,"Front Of The House Manager, Head Host/Hostess, Personal Assistant, Reservations Manager",Ukraine,United Arab Emirates,5+ years,"English, Russian","Decision Making, Flexibility, Interpersonal Skills, Management Skills, Proactive, Work Under  Pressure",04/18/2017,06/22/2020
246579,32,Female,"Host/Hostess, Personal Assistant, Assistant Restaurant Manager, Customer Service, Head Host/Hostess, VIP Waiter/Waitress",Ireland,United Arab Emirates,5+ years,"English, Thai","Adaptability, Commercial Awareness, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/19/2020,06/22/2020
27603,36,Female,"Administrations, HR coordinator, HR executive, Office Manager, Personal Assistant",Kazakhstan,United Arab Emirates,10+ years,"English, Russian, Spanish","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity",03/13/2016,06/22/2020
163954,28,Male,"Bar Back, Barista, Bartender / Barmaid, Butler, Host/Hostess, VIP Waiter/Waitress",Pakistan,United Arab Emirates, 4 years,English,"Communication Skills, Creativity, Flexibility, Leadership  Skills, Problem Solving, Team Work Skills, Work Under  Pressure, Written Communication",07/24/2019,06/22/2020
